TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,ORDINAL_POSITION,IS_PRIMARY_KEY,SOURCE
BPACustomBPATabakProd,DocumentSetups,Id,int,,10,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,Document_Name,longtext,4294967295,,,NO,,2,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,BarCode_Enable,tinyint,,3,0,YES,NULL,3,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,Google_Project_ID,longtext,4294967295,,,YES,NULL,4,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,Google_end_point,longtext,4294967295,,,YES,NULL,5,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,Googledocument_AI_processor,longtext,4294967295,,,YES,NULL,6,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,Google_DL_template,longtext,4294967295,,,YES,NULL,7,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,Manual_Review_prefrence,int,,10,0,NO,,8,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,Confidence_Threshold,int,,10,0,NO,,9,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,Estimated_Volume,longtext,4294967295,,,YES,NULL,10,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,Estimated_Pages,longtext,4294967295,,,YES,NULL,11,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,Billing_Rates,longtext,4294967295,,,YES,NULL,12,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,Page_expression,longtext,4294967295,,,YES,NULL,13,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,Extraction_outcome_format,int,,10,0,YES,NULL,14,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentSetups,AccountId,int,,10,0,NO,,15,NO,tabak_mariadb
BPACustomBPATabakProd,EmailNotificationTypes,Id,int,,10,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,EmailNotificationTypes,NotificationType,longtext,4294967295,,,NO,,2,NO,tabak_mariadb
BPACustomBPATabakProd,EmailTemplates,Id,int,,10,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,EmailTemplates,EmailNotificationTypeId,int,,10,0,NO,,2,NO,tabak_mariadb
BPACustomBPATabakProd,EmailTemplates,Subject,longtext,4294967295,,,NO,,3,NO,tabak_mariadb
